District Number,DistrictName,School Number,Name,"Level (E=Elementary, M=Middle, H=High)",Region,Rural Designation (2019),"Year on Accountability Clock (as of July 1, 2019)",Total_Percent_Points,Final_Rating _2019,"Year on Accountability Clock (as of December 11, 2019)",Notes (2010-2019)
20,Adams 12 Five Star Schools,210,Vantage Point,MH,METRO REGION,Not Rural,,60.14,AEC: Performance Plan,,
20,Adams 12 Five Star Schools,9431,Westgate Charter,EMH,METRO REGION,Not Rural,,68,Performance Plan: Low Participation,,
20,Adams 12 Five Star Schools,9444,Westlake Middle School,M,METRO REGION,Not Rural,,74.5,Performance Plan: Low Participation,,
20,Adams 12 Five Star Schools,9494,Westview Elementary School,E,METRO REGION,Not Rural,,48.3,Improvement Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,9682,Woodglen Elementary School,E,METRO REGION,Not Rural,,54.1,Performance Plan: Meets 95% Participation,,
30,Adams County 14,24,Adams City High School,H,METRO REGION,Not Rural,Year 8,35.5,Priority Improvement Plan: Low Participation,Year 9 of Priority Improvement or Turnaround,"2016, 2018 Denied request to reconsider"
30,Adams County 14,20,Adams City Middle School,M,METRO REGION,Not Rural,,42.2,Improvement Plan: Low Participation,,
30,Adams County 14,186,Alsup Elementary School,E,METRO REGION,Not Rural,,41.1,Priority Improvement Plan: Meets 95% Participation,Year 1 of Priority Improvement or Turnaround,2016 Denied request to reconsider
30,Adams County 14,1426,Central Elementary School,E,METRO REGION,Not Rural,Year 6,40.6,Priority Improvement Plan: Meets 95% Participation,Year 7 of Priority Improvement or Turnaround,
30,Adams County 14,2308,Dupont Elementary School,E,METRO REGION,Not Rural,,50.7,Improvement Plan: Meets 95% Participation,,
30,Adams County 14,6534,Hanson Elementary School,E,METRO REGION,Not Rural,Year 2,45.3,Improvement Plan: Meets 95% Participation,Year 2 On Watch,2016 Approved request to reconsider
30,Adams County 14,4516,Kearney Middle School,M,METRO REGION,Not Rural,,44.5,Improvement Plan: Low Participation,,
30,Adams County 14,4536,Kemp Elementary School,E,METRO REGION,Not Rural,,57.2,Performance Plan: Low Participation,,
30,Adams County 14,22,Lester R Arnold High School,H,METRO REGION,Not Rural,Year 1,37.4,AEC: Priority Improvement Plan,Year 2 of Priority Improvement or Turnaround,
30,Adams County 14,5982,Monaco Elementary School,E,METRO REGION,Not Rural,,54.4,Performance Plan: Meets 95% Participation,,
30,Adams County 14,7500,Rose Hill Elementary School,E,METRO REGION,Not Rural,Year 3,41.1,Priority Improvement Plan: Meets 95% Participation,Year 4 of Priority Improvement or Turnaround,
180,Adams-Arapahoe 28J,126,Academy of Advanced Learning,EM,METRO REGION,Not Rural,,70.9,Performance Plan: Meets 95% Participation,,"2017 New school, deferred to district rating"
180,Adams-Arapahoe 28J,214,Altura Elementary School,E,METRO REGION,Not Rural,,44,Improvement Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,310,Arkansas Elementary School,E,METRO REGION,Not Rural,,60.6,Performance Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,458,Aurora Academy Charter School,EM,METRO REGION,Not Rural,,68,Performance Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,1458,Aurora Central High School,H,METRO REGION,Not Rural,Year 8,35.2,Priority Improvement Plan: Meets 95% Participation,Year 9 of Priority Improvement or Turnaround,"2010 Approved request to reconsider, 2014 Overwritten as Year 5 on the clock due to error in 2012; 2017 Approved request to reconsider"
180,Adams-Arapahoe 28J,122,Aurora Community School,E,METRO REGION,Not Rural,,,Performance Plan,,"2019 New school, deferred to district rating"
180,Adams-Arapahoe 28J,465,Aurora Frontier K-8,EM,METRO REGION,Not Rural,,80.7,Performance Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,464,Aurora Hills Middle School,M,METRO REGION,Not Rural,Year 3,42.2,Improvement Plan: Meets 95% Participation,Year 3 On Watch,2014 Approved request to reconsider; 2018 Denied request to reconsider
180,Adams-Arapahoe 28J,7232,Aurora Quest K-8,EM,METRO REGION,Not Rural,,91.8,Performance Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,127,Aurora Science & Tech Middle School,M,METRO REGION,Not Rural,,,Performance Plan,,"2019 New school, deferred to district rating"
180,Adams-Arapahoe 28J,9396,Aurora West College Preparatory Academy,MH,METRO REGION,Not Rural,,54.8,Performance Plan: Meets 95% Participation,,2017 Approved request to reconsider
180,Adams-Arapahoe 28J,213,AXL Academy,EM,METRO REGION,Not Rural,,53.4,Performance Plan: Low Participation,,
180,Adams-Arapahoe 28J,914,Boston K-8 School,EM,METRO REGION,Not Rural,,56.6,Performance Plan: Meets 95% Participation,,2013 Denied request to reconsider; 2018 Approved request to reconsider
180,Adams-Arapahoe 28J,1470,Century Elementary School,E,METRO REGION,Not Rural,,54.6,Performance Plan: Meets 95% Participation,,2017 Approved request to reconsider
180,Adams-Arapahoe 28J,1720,Clyde Miller K-8,EM,METRO REGION,Not Rural,,58.5,Performance Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,1800,Columbia Middle School,M,METRO REGION,Not Rural,,59.1,Performance Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,1948,Crawford Elementary School,E,METRO REGION,Not Rural,,47.8,Improvement Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,2095,Dalton Elementary School,E,METRO REGION,Not Rural,Year 1,48.8,Improvement Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,2114,Dartmouth Elementary School,E,METRO REGION,Not Rural,,62.2,Performance Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,2384,East Middle School,M,METRO REGION,Not Rural,,58,Performance Plan: Meets 95% Participation,,2014 Approved request to reconsider
180,Adams-Arapahoe 28J,2673,Edna and John W. Mosley P-8,EM,METRO REGION,Not Rural,,37.9,Priority Improvement Plan: Meets 95% Participation,Year 1 of Priority Improvement or Turnaround,
180,Adams-Arapahoe 28J,2618,Elkhart Elementary School,E,METRO REGION,Not Rural,,63.3,Performance Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,2654,Empower Community High School,H,METRO REGION,Not Rural,,,Performance Plan,,"2019 New school, deferred to district rating"
180,ADAMS-ARAPAHOE 28J,2998,FLETCHER COMMUNITY SCHOOL,E,,,,46.4,School Code Closed 2019-20,,
180,Adams-Arapahoe 28J,3272,Fulton Academy of Excellence,E,METRO REGION,Not Rural,,49.2,Improvement Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,3354,Gateway High School,H,METRO REGION,Not Rural,Year 4,37.8,Turnaround Plan: Decreased due to Participation,Year 5 of Priority Improvement or Turnaround,
180,Adams-Arapahoe 28J,3471,Global Village Academy Aurora,EM,METRO REGION,Not Rural,Year 1,43.6,Improvement Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,4024,Hinkley High School,H,METRO REGION,Not Rural,Year 1,39.2,Turnaround Plan: Decreased due to Participation,Year 2 of Priority Improvement or Turnaround,"2016, 2017 Approved request to reconsider"
180,Adams-Arapahoe 28J,4270,Iowa Elementary School,E,METRO REGION,Not Rural,,52.1,Performance Plan: Meets 95% Participation,,"2014, 2019 Approved request to reconsider"
180,Adams-Arapahoe 28J,4426,Jewell Elementary School,E,METRO REGION,Not Rural,,56.5,Performance Plan: Meets 95% Participation,,2017 Denied request to reconsider
180,Adams-Arapahoe 28J,4646,Kenton Elementary School,E,METRO REGION,Not Rural,,44.6,Improvement Plan: Meets 95% Participation,,2017 Denied request to reconsider
180,Adams-Arapahoe 28J,4970,Lansing Elementary Community School,E,METRO REGION,Not Rural,,51.8,Improvement Plan: Meets 95% Participation,,2016 Approved request to reconsider
180,Adams-Arapahoe 28J,4973,Laredo Elementary School,E,METRO REGION,Not Rural,Year 1,40,Priority Improvement Plan: Meets 95% Participation,Year 2 of Priority Improvement or Turnaround,2018 Denied request to reconsider
180,Adams-Arapahoe 28J,5298,Lotus School for Excellence,EMH,METRO REGION,Not Rural,,68.4,Performance Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,5361,Lyn Knoll Elementary School,E,METRO REGION,Not Rural,,40,Priority Improvement Plan: Meets 95% Participation,Year 1 of Priority Improvement or Turnaround,
180,Adams-Arapahoe 28J,6068,Montview Math & Health Sciences Elementary School,E,METRO REGION,Not Rural,,45.2,Improvement Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,6160,Mrachek Middle School,M,METRO REGION,Not Rural,,40.5,Priority Improvement Plan: Meets 95% Participation,Year 1 of Priority Improvement or Turnaround,2014 Denied request to reconsider
180,Adams-Arapahoe 28J,6189,Murphy Creek K-8 School,EM,METRO REGION,Not Rural,,77.3,Performance Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,6310,North Middle School Health Sciences and Technology,M,METRO REGION,Not Rural,Year 4,41.1,Priority Improvement Plan: Meets 95% Participation,Year 5 of Priority Improvement or Turnaround,
180,Adams-Arapahoe 28J,6728,Paris Elementary School,E,METRO REGION,Not Rural,,51,Improvement Plan: Meets 95% Participation,,2017 Denied request to reconsider
180,Adams-Arapahoe 28J,6758,Park Lane Elementary School,E,METRO REGION,Not Rural,Year 1,34.8,Priority Improvement Plan: Meets 95% Participation,Year 2 of Priority Improvement or Turnaround,2016 Approved request to reconsider
180,Adams-Arapahoe 28J,6869,Peoria Elementary School,E,METRO REGION,Not Rural,,43.2,Improvement Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,7250,Rangeview High School,H,METRO REGION,Not Rural,,61.8,Performance Plan: Low Participation,,2010 Approved request to reconsider
180,Adams-Arapahoe 28J,7233,Rocky Mountain Prep: Fletcher,E,METRO REGION,Not Rural,,50.4,Improvement Plan: Meets 95% Participation,,"2017 New school, deferred to district rating; 2018 Insufficient state evidence, deferred to district rating"
180,Adams-Arapahoe 28J,7558,Sable Elementary School,E,METRO REGION,Not Rural,Year 1,41.1,Improvement Plan: Meets 95% Participation,,2019 Approved request to reconsider
180,Adams-Arapahoe 28J,7865,Side Creek Elementary School,E,METRO REGION,Not Rural,,57.5,Performance Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,7932,Sixth Avenue Elementary School,E,METRO REGION,Not Rural,,45.2,Improvement Plan: Meets 95% Participation,,2018 Approved request to reconsider
180,Adams-Arapahoe 28J,8078,South Middle School,M,METRO REGION,Not Rural,,41.1,Priority Improvement Plan: Meets 95% Participation,Year 1 of Priority Improvement or Turnaround,
180,Adams-Arapahoe 28J,8858,Tollgate Elementary School of Expeditionary Learni,E,METRO REGION,Not Rural,,65,Performance Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,9189,Vanguard Classical School - East,EMH,METRO REGION,Not Rural,,51.4,Improvement Plan: Meets 95% Participation,,"2014 New school, deferred to district rating"
180,Adams-Arapahoe 28J,9056,Vanguard Classical School - West,EM,METRO REGION,Not Rural,,58.8,Performance Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,9059,Vassar Elementary School,E,METRO REGION,Not Rural,,56.7,Performance Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,9060,Vaughn Elementary School,E,METRO REGION,Not Rural,Year 1,55,Performance Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,9053,Vega Collegiate Academy,E,METRO REGION,Not Rural,,64.3,Performance Plan: Meets 95% Participation,,"2017 New school, deferred to district rating"
180,Adams-Arapahoe 28J,9140,Virginia Court Elementary School,E,METRO REGION,Not Rural,Year 4,45.2,Improvement Plan: Meets 95% Participation,Year 4 On Watch,
180,Adams-Arapahoe 28J,9125,Vista Peak 9-12 Preparatory,H,METRO REGION,Not Rural,,51.8,Improvement Plan: Low Participation,,"2010 New school, deferred to district rating; 2016, 2019 Approved request to reconsider"
180,Adams-Arapahoe 28J,9083,Vista Peak P-8 Exploratory,EM,METRO REGION,Not Rural,,52.7,Performance Plan: Meets 95% Participation,,"2010 New school, deferred to district rating; 2019 Approved request to reconsider"
180,Adams-Arapahoe 28J,9514,Wheeling Elementary School,E,METRO REGION,Not Rural,,52.8,Performance Plan: Meets 95% Participation,,2019 Approved request to reconsider
180,Adams-Arapahoe 28J,8356,William Smith High School,H,METRO REGION,Not Rural,,54.2,Performance Plan: Meets 95% Participation,,
180,Adams-Arapahoe 28J,9756,Yale Elementary School,E,METRO REGION,Not Rural,,66.2,Performance Plan: Meets 95% Participation,,
960,Agate 300,44,Agate Elementary School,E,NORTHEAST REGION,Small Rural,,,Performance Plan,,"2012, 2013, 2016, 2017, 2018, 2019 Insufficient state evidence, deferred to district rating; 2014 Approved request to reconsider"
960,Agate 300,48,Agate Junior Senior High School,MH,NORTHEAST REGION,Small Rural,,,Performance Plan,,"2018 New school, deferred to district rating; 2019 Insufficient state evidence, deferred to district rating"
1620,Aguilar Reorganized 6,58,Aguilar Elementary School,E,SOUTHEAST REGION,Small Rural,Year 4,47,Improvement Plan: Meets 95% Participation,Year 4 On Watch,
1620,Aguilar Reorganized 6,66,Aguilar Junior-Senior High School,MH,SOUTHEAST REGION,Small Rural,Year 8,49.1,Improvement Plan: Low Participation,Year 8 On Watch,
3030,Akron R-1,86,Akron Elementary School,EM,NORTHEAST REGION,Small Rural,,44.8,Improvement Plan: Low Participation,,
3030,Akron R-1,90,Akron High School,H,NORTHEAST REGION,Small Rural,,70.5,Performance Plan: Meets 95% Participation,,2016 Approved request to reconsider
100,Alamosa RE-11J,115,Alamosa Elementary School,E,SOUTHWEST REGION,Rural,,48.4,Improvement Plan: Meets 95% Participation,,
100,Alamosa RE-11J,118,Alamosa High School,H,SOUTHWEST REGION,Rural,,56.9,Performance Plan: Meets 95% Participation,,
100,Alamosa RE-11J,368,Alamosa Ombudsman School of Excellence,MH,SOUTHWEST REGION,Rural,,48.76,AEC: Improvement Plan,,
100,Alamosa RE-11J,114,Ortega Middle School,M,SOUTHWEST REGION,Rural,,51,Improvement Plan: Meets 95% Participation,,
220,Archuleta County 50 Jt,6679,Pagosa Peak Open School,E,SOUTHWEST REGION,Rural,Year 1,47.5,Priority Improvement Plan: Decreased due to Participation,Year 2 of Priority Improvement or Turnaround,"2017 New school, deferred to district rating"
220,Archuleta County 50 Jt,6652,Pagosa Springs Elementary School,E,SOUTHWEST REGION,Rural,,69.1,Performance Plan: Low Participation,,2019 Approved request to reconsider
220,Archuleta County 50 Jt,6658,Pagosa Springs High School,H,SOUTHWEST REGION,Rural,,56.5,Performance Plan: Meets 95% Participation,,2018 Approved request to reconsider
220,Archuleta County 50 Jt,6657,Pagosa Springs Middle School,EM,SOUTHWEST REGION,Rural,,68,Performance Plan: Low Participation,,2019 Approved request to reconsider
3040,Arickaree R-2,304,Arickaree Elementary School,E,NORTHEAST REGION,Small Rural,,57.4,Performance Plan: Low Participation,,2018 Approved request to reconsider
3040,Arickaree R-2,308,Arickaree Undivided High School,MH,NORTHEAST REGION,Small Rural,,68.3,Performance Plan: Low Participation,,
1450,Arriba-Flagler C-20,2960,Flagler Public School,EMH,NORTHEAST REGION,Small Rural,,53.6,Performance Plan: Meets 95% Participation,,
2640,Aspen 1,42,Aspen Community Charter School,EM,NORTHWEST REGION,Rural,,82.5,Performance Plan: Meets 95% Participation,,
2640,Aspen 1,428,Aspen Elementary School,E,NORTHWEST REGION,Rural,,55.9,Performance Plan: Meets 95% Participation,,
2640,Aspen 1,432,Aspen High School,H,NORTHWEST REGION,Rural,,79.2,Performance Plan: Low Participation,,"2016, 2017 Denied request to reconsider"
2640,Aspen 1,430,Aspen Middle School,EM,NORTHWEST REGION,Rural,,74.6,Performance Plan: Low Participation,,2016 Denied request to reconsider
