CMSCertificationNumber (CCN),FacilityName,AddressLine1,AddressLine2,City,State,ZipCode,CountyName,PhoneNumber,CMSRegion,MeasureCode,Score,Footnote,StartDate,EndDate
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_007_01_DOPC_DAYS,4507,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_007_01_ELIGCASES,3.357,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_007_01_NUMERATOR,4,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_007_01_SIR,1.192,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_009_02_DENOMINATOR,302,,01/01/2019,12/31/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_009_02_NUMERATOR,302,,01/01/2019,12/31/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_009_02_OBS_RATE,100,,01/01/2019,12/31/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_010_02_DENOMINATOR,302,,01/01/2019,12/31/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_010_02_NUMERATOR,302,,01/01/2019,12/31/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_010_02_OBS_RATE,100,,01/01/2019,12/31/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_011_03_ADJ_CHG_MOBL_SCORE,3,,01/01/2018,12/31/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_011_03_DENOMINATOR,120,,01/01/2018,12/31/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_011_03_OBS_CHG_MOBL_SCORE,3.7,,01/01/2018,12/31/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_012_01_DENOMINATOR,302,,01/01/2019,12/31/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_012_01_NUMERATOR,0,,01/01/2019,12/31/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_012_01_OBS_RATE,0,,01/01/2019,12/31/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_014_01_CI_LOWER,0.101,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_014_01_CI_UPPER,1.085,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_014_01_COMP_PERF,No Different than National Benchmark,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_014_01_DOPC_DAYS,8446,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_014_01_ELIGCASES,7.527,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_014_01_NUMERATOR,3,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_014_01_SIR,0.399,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_015_01_DENOMINATOR,479,,10/01/2017,03/31/2018
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_015_01_NUMERATOR,454,,10/01/2017,03/31/2018
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_015_01_OBS_RATE,94.8,,10/01/2017,03/31/2018
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_017_01_PPR_PD_COMP_PERF,No Different than National Rate,,10/01/2017,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_017_01_PPR_PD_OBS,14.41,,10/01/2017,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_017_01_PPR_PD_OBS_READM,34,,10/01/2017,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_017_01_PPR_PD_RSRR,15.51,,10/01/2017,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_017_01_PPR_PD_RSRR_2_5,12.55,,10/01/2017,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_017_01_PPR_PD_RSRR_97_5,19.12,,10/01/2017,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_017_01_PPR_PD_VOLUME,236,,10/01/2017,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_018_02_DTC_COMP_PERF,No Different than National Rate,,10/01/2017,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_018_02_DTC_NUMBER,32,,10/01/2017,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_018_02_DTC_OBS_RATE,12.5,,10/01/2017,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_018_02_DTC_RS_RATE,15.38,,10/01/2017,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_018_02_DTC_RS_RATE_2_5,11.36,,10/01/2017,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_018_02_DTC_RS_RATE_97_5,20.58,,10/01/2017,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_018_02_DTC_VOLUME,256,,10/01/2017,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_019_01_MSPB_NUMB,236,,10/01/2017,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_019_01_MSPB_SCORE,1.07,,10/01/2017,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_020_01_DENOMINATOR,302,,01/01/2019,12/31/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_020_01_NUMERATOR,27,,01/01/2019,12/31/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_020_01_OBS_RATE,8.9,,01/01/2019,12/31/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_021_01_ADJ_RATE,4.4,,01/01/2019,12/31/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_021_01_DENOMINATOR,276,,01/01/2019,12/31/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_021_01_NUMERATOR,12,,01/01/2019,12/31/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_021_01_OBS_RATE,4.3,,01/01/2019,12/31/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_006_01_CI_LOWER,0.092,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_006_01_CI_UPPER,1.816,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_006_01_COMP_PERF,No Different than National Benchmark,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_006_01_DOPC_DAYS,3498,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_006_01_ELIGCASES,3.639,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_006_01_NUMERATOR,2,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_006_01_SIR,0.55,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_007_01_CI_LOWER,0.07,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_007_01_CI_UPPER,1.384,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_007_01_COMP_PERF,No Different than National Benchmark,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_007_01_DOPC_DAYS,3693,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_007_01_ELIGCASES,4.773,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_007_01_NUMERATOR,2,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_007_01_SIR,0.419,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_009_02_DENOMINATOR,242,,01/01/2019,12/31/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_009_02_NUMERATOR,241,,01/01/2019,12/31/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_009_02_OBS_RATE,99.6,,01/01/2019,12/31/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_010_02_DENOMINATOR,242,,01/01/2019,12/31/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_010_02_NUMERATOR,241,,01/01/2019,12/31/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_010_02_OBS_RATE,99.6,,01/01/2019,12/31/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_011_03_ADJ_CHG_MOBL_SCORE,7,,01/01/2018,12/31/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_011_03_DENOMINATOR,75,,01/01/2018,12/31/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_011_03_OBS_CHG_MOBL_SCORE,4.9,,01/01/2018,12/31/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_012_01_DENOMINATOR,242,,01/01/2019,12/31/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_012_01_NUMERATOR,0,,01/01/2019,12/31/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_012_01_OBS_RATE,0,,01/01/2019,12/31/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_014_01_CI_LOWER,Not Available,6,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_014_01_CI_UPPER,0.514,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_014_01_COMP_PERF,Better than the National Benchmark,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_014_01_DOPC_DAYS,5567,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_014_01_ELIGCASES,5.827,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_014_01_NUMERATOR,0,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_014_01_SIR,0,,10/01/2018,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_015_01_DENOMINATOR,148,,10/01/2017,03/31/2018
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_015_01_NUMERATOR,114,,10/01/2017,03/31/2018
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_015_01_OBS_RATE,77,,10/01/2017,03/31/2018
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_017_01_PPR_PD_COMP_PERF,No Different than National Rate,,10/01/2017,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_017_01_PPR_PD_OBS,15.52,,10/01/2017,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_017_01_PPR_PD_OBS_READM,27,,10/01/2017,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_017_01_PPR_PD_RSRR,15.66,,10/01/2017,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_017_01_PPR_PD_RSRR_2_5,12.77,,10/01/2017,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_017_01_PPR_PD_RSRR_97_5,19.27,,10/01/2017,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_017_01_PPR_PD_VOLUME,174,,10/01/2017,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_018_02_DTC_COMP_PERF,No Different than National Rate,,10/01/2017,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_018_02_DTC_NUMBER,47,,10/01/2017,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_018_02_DTC_OBS_RATE,23.62,,10/01/2017,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_018_02_DTC_RS_RATE,25.16,,10/01/2017,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_018_02_DTC_RS_RATE_2_5,19.86,,10/01/2017,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_018_02_DTC_RS_RATE_97_5,30.81,,10/01/2017,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_018_02_DTC_VOLUME,199,,10/01/2017,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_019_01_MSPB_NUMB,162,,10/01/2017,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_019_01_MSPB_SCORE,0.92,,10/01/2017,09/30/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_020_01_DENOMINATOR,242,,01/01/2019,12/31/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_020_01_NUMERATOR,183,,01/01/2019,12/31/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_020_01_OBS_RATE,75.6,,01/01/2019,12/31/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_021_01_ADJ_RATE,1.4,,01/01/2019,12/31/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_021_01_DENOMINATOR,184,,01/01/2019,12/31/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_021_01_NUMERATOR,3,,01/01/2019,12/31/2019
12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,L_021_01_OBS_RATE,1.6,,01/01/2019,12/31/2019
12008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_006_01_CI_LOWER,0.137,,10/01/2018,09/30/2019
12008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_006_01_CI_UPPER,1.466,,10/01/2018,09/30/2019
