CAD Incident Number,Response Date,CAD Problem,Latitude,Longitude,Report Date,RMS Call Nature
BCSO200106-000797,1/6/2020,OAAS-Other Agency Assist,40.014687,-105.205588,1/6/2020,AUTO THEFT
BCSO200131-004273,1/31/2020,AUTHES-Auto Theft,40.029236,-105.225388,1/31/2020,AUTO THEFT
BCSO200209-005511,2/9/2020,AUTHES-Auto Theft,40.065913,-105.186954,2/9/2020,AUTO THEFT
SUPD200217-006602,2/17/2020,AUTHES-Auto Theft,39.943244,-105.154096,2/17/2020,AUTO THEFT
SUPD200221-007107,2/21/2020,AUTHES-Auto Theft,39.955924,-105.169715,2/21/2020,AUTO THEFT
BCSO200309-009372,3/9/2020,AUTHES-Auto Theft,40.059653,-105.207830,3/9/2020,AUTO THEFT
BCSO200322-010962,3/22/2020,AUTHES-Auto Theft,40.060850,-105.207781,3/22/2020,AUTO THEFT
BCSO200408-012471,4/8/2020,AUTHES-Auto Theft,40.023906,-105.224004,3/27/2020,AUTO THEFT
BCSO200424-013925,4/24/2020,AUTHES-Auto Theft,40.002498,-105.368826,4/24/2020,AUTO THEFT
SUPD200503-014933,5/3/2020,AUTHES-Auto Theft,39.930224,-105.143093,5/3/2020,AUTO THEFT
BCSO200509-015647,5/9/2020,AUTHES-Auto Theft,40.066154,-105.183606,6/9/2020,AUTO THEFT
SUPD200511-015836,5/11/2020,AUTHES-Auto Theft,39.918592,-105.156289,5/11/2020,AUTO THEFT
SUPD200518-016773,5/18/2020,AUTHES-Auto Theft,39.924493,-105.149196,5/18/2020,AUTO THEFT
SUPD200520-016970,5/20/2020,AUTHES-Auto Theft,39.932642,-105.164792,5/20/2020,AUTO THEFT
BCSO200520-017091,5/20/2020,SUSPIS-Suspicious,40.049635,-105.304317,5/20/2020,AUTO THEFT
BCSO200524-017700,5/24/2020,DISTUS-Disturbance,40.029236,-105.225388,5/24/2020,AUTO THEFT
BCSO200527-018091,5/27/2020,AUTHES-Auto Theft,39.985989,-105.179201,5/27/2020,AUTO THEFT
BCSO200605-019421,6/5/2020,AUTHES-Auto Theft,40.060855,-105.208467,6/5/2020,AUTO THEFT
BCSO200612-020281,6/12/2020,AUTHES-Auto Theft,40.072839,-105.127562,6/12/2020,AUTO THEFT
SUPD200617-020961,6/17/2020,AUTHES-Auto Theft,39.954800,-105.163285,6/17/2020,AUTO THEFT
SUPD200619-021162,6/19/2020,CRTRES-Criminal Trespass,39.938840,-105.142049,6/19/2020,AUTO THEFT
BCSO200619-021205,6/19/2020,AUTHES-Auto Theft,39.951522,-105.378993,6/19/2020,AUTO THEFT
BCSO200624-021902,6/24/2020,LOPROS-Lost Property,39.924663,-105.396232,6/24/2020,AUTO THEFT
SUPD200625-021939,6/25/2020,AUTHES-Auto Theft,39.939004,-105.144701,6/25/2020,AUTO THEFT
BCSO200625-021951,6/25/2020,AUTHES-Auto Theft,40.055008,-105.067124,6/25/2020,AUTO THEFT
BCSO200626-022061,6/26/2020,AUTHES-Auto Theft,40.000245,-105.067918,6/26/2020,AUTO THEFT
SUPD200628-022335,6/28/2020,AUTHES-Auto Theft,39.926876,-105.148006,6/28/2020,AUTO THEFT
SUPD200701-022837,7/1/2020,TRSTOS-Traffic Stop,39.955970,-105.169751,7/1/2020,AUTO THEFT
BCSO200724-026142,7/24/2020,AUTHES-Auto Theft,39.972030,-105.559410,7/24/2020,AUTO THEFT
BCSO200725-026262,7/25/2020,THEFTS-Theft,40.174250,-105.177658,7/25/2020,AUTO THEFT
SUPD200727-026506,7/27/2020,TRSTOS-Traffic Stop,39.933386,-105.162824,7/27/2020,AUTO THEFT
BCSO200730-026968,7/30/2020,AUTHES-Auto Theft,40.068766,-105.180765,7/30/2020,AUTO THEFT
BCSO200731-027073,7/31/2020,TRESPS-Trespassing,40.144671,-105.074222,7/31/2020,AUTO THEFT
BCSO200731-027080,7/31/2020,FOLLOS-Follow-Up,40.023906,-105.224004,7/31/2020,AUTO THEFT
SUPD200804-027634,8/4/2020,AUTHES-Auto Theft,39.953523,-105.176789,8/4/2020,AUTO THEFT
BCSO200812-028761,8/12/2020,AUTHES-Auto Theft,40.064746,-105.282023,8/12/2020,AUTO THEFT
BCSO200814-029059,8/14/2020,AUTHES-Auto Theft,40.161238,-105.121330,8/14/2020,AUTO THEFT
BCSO200817-029542,8/17/2020,AUTHES-Auto Theft,40.098529,-105.167306,8/18/2020,AUTO THEFT
SUPD200831-031362,8/31/2020,AUTHES-Auto Theft,39.943273,-105.155878,8/31/2020,AUTO THEFT
SUPD200901-031514,9/1/2020,AUTHES-Auto Theft,39.934114,-105.141988,9/1/2020,AUTO THEFT
SUPD200903-031809,9/3/2020,AUTHES-Auto Theft,39.954778,-105.177039,9/3/2020,AUTO THEFT
BCSO200905-032145,9/5/2020,OAAS-Other Agency Assist,39.953256,-105.232617,9/5/2020,AUTO THEFT
BCSO200909-032618,9/9/2020,AUTHES-Auto Theft,40.055457,-105.200798,9/9/2020,AUTO THEFT
BCSO200909-032697,9/9/2020,AUTHES-Auto Theft,40.055624,-105.200216,9/9/2020,AUTO THEFT
SUPD200913-033129,9/13/2020,AUTHES-Auto Theft,39.956450,-105.176443,9/13/2020,AUTO THEFT
SUPD200918-033814,9/18/2020,AUTHES-Auto Theft,39.956681,-105.176448,9/18/2020,AUTO THEFT
BCSO200924-034620,9/24/2020,AUTHES-Auto Theft,40.060854,-105.208244,9/24/2020,AUTO THEFT
SUPD200924-034642,9/24/2020,AUTHES-Auto Theft,39.954887,-105.163349,9/24/2020,AUTO THEFT
BCSO200929-035254,9/29/2020,AUTHES-Auto Theft,40.005547,-105.349650,9/29/2020,AUTO THEFT
BCSO201001-035545,10/1/2020,AUTHES-Auto Theft,39.982291,-105.090504,10/1/2020,AUTO THEFT
BCSO201010-036709,10/10/2020,AUTHES-Auto Theft,40.061845,-105.215394,10/10/2020,AUTO THEFT
SUPD201013-037081,10/13/2020,AUTHES-Auto Theft,39.926769,-105.164472,10/13/2020,AUTO THEFT
SUPD201016-037472,10/16/2020,AUTHES-Auto Theft,39.921279,-105.163299,10/16/2020,AUTO THEFT
BCSO201023-038348,10/23/2020,AUTHES-Auto Theft,40.132152,-105.074247,10/23/2020,AUTO THEFT
SUPD201025-038567,10/25/2020,AUTHES-Auto Theft,39.954059,-105.169419,10/25/2020,AUTO THEFT
ERPD201031-012508,10/31/2020,SUSPIS-Suspicious,40.139973,-105.074243,10/31/2020,AUTO THEFT
SUPD201101-039326,11/1/2020,AUTHES-Auto Theft,39.954887,-105.163349,11/1/2020,AUTO THEFT
BCSO201107-040143,11/7/2020,AUTHES-Auto Theft,39.975295,-105.481459,11/7/2020,AUTO THEFT
LYPD201117-041234,11/17/2020,AUTHES-Auto Theft,40.226637,-105.270076,11/17/2020,AUTO THEFT
BCSO201118-041358,11/18/2020,AUTHES-Auto Theft,39.964503,-105.212952,11/18/2020,AUTO THEFT
BCSO201118-041379,11/18/2020,AUTHES-Auto Theft,40.060852,-105.207978,11/18/2020,AUTO THEFT
BCSO201119-041575,11/19/2020,AUTHES-Auto Theft,39.957325,-105.232008,11/19/2020,AUTO THEFT
SUPD201125-042209,11/25/2020,AUTHES-Auto Theft,39.929547,-105.145510,11/25/2020,AUTO THEFT
BCSO201127-042363,11/27/2020,AUTHES-Auto Theft,40.050052,-105.254937,11/27/2020,AUTO THEFT
LYPD201208-043577,12/8/2020,AUTHES-Auto Theft,40.220610,-105.273064,12/8/2020,AUTO THEFT
LYPD201216-044470,12/16/2020,AUTHES-Auto Theft,40.221388,-105.257791,12/16/2020,AUTO THEFT
BCSO201217-044666,12/17/2020,AUTHES-Auto Theft,40.214457,-105.245332,12/17/2020,AUTO THEFT
LYPD201218-044682,12/18/2020,AUTHES-Auto Theft,40.217772,-105.265490,12/18/2020,AUTO THEFT
BCSO201221-044970,12/21/2020,THEFTS-Theft,40.188701,-105.167382,12/21/2020,AUTO THEFT
BCSO201222-045158,12/22/2020,AUTHES-Auto Theft,40.014686,-105.201132,12/22/2020,AUTO THEFT
BCSO200510-015717,5/10/2020,BURGLS-Burglary,40.103469,-105.167374,5/10/2020,BURG ATT
LYPD200529-018431,5/29/2020,BURGLS-Burglary,40.220003,-105.255615,5/29/2020,BURG ATT
BCSO200730-027058,7/30/2020,DISTUS-Disturbance,40.066975,-105.201162,7/30/2020,BURG ATT
BCSO200107-000912,1/7/2020,THEFTS-Theft,40.212281,-105.246709,1/7/2020,BURG COMM
BCSO200114-001812,1/14/2020,THEFTS-Theft,40.014687,-105.205588,1/14/2020,BURG COMM
BCSO200206-005121,2/6/2020,BURGLS-Burglary,39.932579,-105.279071,2/6/2020,BURG COMM
BCSO200209-005492,2/9/2020,BURGLS-Burglary,39.932579,-105.279071,2/9/2020,BURG COMM
BCSO200210-005679,2/10/2020,BURGLS-Burglary,40.159819,-105.068677,2/10/2020,BURG COMM
BCSO200211-005780,2/11/2020,BURGLS-Burglary,40.159699,-105.075360,2/11/2020,BURG COMM
SUPD200320-010763,3/20/2020,BURGLS-Burglary,39.928940,-105.147532,3/20/2020,BURG COMM
BCSO200331-011780,3/31/2020,DISTUS-Disturbance,40.113853,-105.055427,3/31/2020,BURG COMM
LYPD200426-014169,4/26/2020,BURGLS-Burglary,40.224641,-105.268814,4/26/2020,BURG COMM
BCSO200514-016252,5/14/2020,TRESPS-Trespassing,40.159699,-105.075360,5/14/2020,BURG COMM
BCSO200530-018488,5/30/2020,BURGLS-Burglary,40.190922,-105.512433,5/30/2020,BURG COMM
LYPD200604-019272,6/4/2020,BURGLS-Burglary,40.224641,-105.268814,6/4/2020,BURG COMM
BCSO200615-020678,6/15/2020,BURGLS-Burglary,40.014686,-105.201132,6/15/2020,BURG COMM
BCSO200615-020767,6/15/2020,CRMISS-Criminal Mischief,40.159699,-105.075360,6/15/2020,BURG COMM
BCSO200619-021156,6/19/2020,CRMISS-Criminal Mischief,40.159699,-105.075360,6/19/2020,BURG COMM
BCSO200624-021876,6/24/2020,BURGLS-Burglary,40.014687,-105.205588,6/25/2020,BURG COMM
BCSO200701-022846,7/1/2020,THEFTS-Theft,40.014687,-105.205588,7/1/2020,BURG COMM
BCSO200702-022890,7/2/2020,BURGLS-Burglary,40.014687,-105.205588,7/2/2020,BURG COMM
BCSO200722-025916,7/22/2020,BURGLS-Burglary,40.159819,-105.068677,7/22/2020,BURG COMM
BCSO200811-028670,8/11/2020,THEFTS-Theft,40.054643,-105.091796,8/11/2020,BURG COMM
BCSO200818-029736,8/18/2020,CRTRES-Criminal Trespass,40.156534,-105.074369,8/18/2020,BURG COMM
BCSO200827-030889,8/27/2020,BURGLS-Burglary,40.014687,-105.205588,8/27/2020,BURG COMM
BCSO200828-030983,8/28/2020,BURGLS-Burglary,40.238050,-105.287873,8/28/2020,BURG COMM
BCSO200926-034893,9/26/2020,TRESPS-Trespassing,40.016790,-105.206696,9/26/2020,BURG COMM
BCSO200930-035389,9/30/2020,BURGLS-Burglary,40.029240,-105.055371,9/30/2020,BURG COMM
BCSO201029-038944,10/29/2020,BURGLS-Burglary,40.014634,-105.185668,10/29/2020,BURG COMM
BCSO201106-040009,11/6/2020,BURGLS-Burglary,40.014677,-105.204168,11/6/2020,BURG COMM
BCSO201112-040723,11/12/2020,BURGLS-Burglary,40.014687,-105.205588,11/12/2020,BURG COMM
BCSO201116-041126,11/16/2020,BURGLS-Burglary,40.014677,-105.204168,11/16/2020,BURG COMM
BCSO201123-041949,11/23/2020,BURGLS-Burglary,40.087368,-105.075040,11/23/2020,BURG COMM
BCSO201125-042210,11/25/2020,BURGLS-Burglary,39.934254,-105.145529,11/25/2020,BURG COMM
BCSO201209-043697,12/9/2020,BURGLS-Burglary,39.951941,-105.232954,12/9/2020,BURG COMM
SUPD201211-043991,12/11/2020,THEFTS-Theft,39.930224,-105.143093,12/11/2020,BURG COMM
BCSO201221-044954,12/21/2020,ALINTS-Intrusion alarm,40.003622,-105.210598,12/21/2020,BURG COMM
SUPD201221-044958,12/21/2020,ALINTS-Intrusion alarm,39.955945,-105.165684,12/21/2020,BURG COMM
BCSO201223-045209,12/23/2020,CRTRES-Criminal Trespass,40.072907,-105.103358,12/23/2020,BURG COMM
SUPD201226-045444,12/26/2020,BURGLS-Burglary,39.959734,-105.171768,12/26/2020,BURG COMM
BCSO201228-045648,12/28/2020,THEFTS-Theft,39.986264,-105.202883,12/28/2020,BURG COMM
BCSO200108-000983,1/8/2020,BURGLS-Burglary,40.043993,-105.251311,1/8/2020,BURG RES
BCSO200110-001397,1/10/2020,BURGLS-Burglary,40.059189,-105.214376,1/10/2020,BURG RES
BCSO200112-001607,1/12/2020,TRESPS-Trespassing,40.044867,-105.312227,1/12/2020,BURG RES
SUPD200117-002238,1/17/2020,THEFTS-Theft,39.928928,-105.142588,1/17/2020,BURG RES
BCSO200126-003385,1/26/2020,BURGLS-Burglary,40.077929,-105.083807,1/26/2020,BURG RES
BCSO200127-003503,1/27/2020,BURGLS-Burglary,40.072025,-105.242877,1/27/2020,BURG RES
SUPD200128-003679,1/28/2020,BURGLS-Burglary,39.926876,-105.148006,1/28/2020,BURG RES
BCSO200129-003893,1/29/2020,TRESPS-Trespassing,40.129177,-105.102596,1/29/2020,BURG RES
BCSO200130-003982,1/30/2020,CRMISS-Criminal Mischief,40.016460,-105.324779,1/30/2020,BURG RES
SUPD200204-004782,2/4/2020,THEFTS-Theft,39.934254,-105.145529,2/4/2020,BURG RES
SUPD200204-004804,2/4/2020,THEFTS-Theft,39.930132,-105.147185,2/4/2020,BURG RES
BCSO200206-005143,2/6/2020,DISTUS-Disturbance,40.129177,-105.102596,2/6/2020,BURG RES
SUPD200216-006521,2/16/2020,BURGLS-Burglary,39.918114,-105.162152,2/16/2020,BURG RES
BCSO200217-006634,2/17/2020,AUTHES-Auto Theft,40.062240,-105.131225,2/17/2020,BURG RES
SUPD200219-006837,2/19/2020,THEFTS-Theft,39.931050,-105.144681,2/19/2020,BURG RES
BCSO200222-007221,2/22/2020,DISTUS-Disturbance,39.989083,-105.370689,2/22/2020,BURG RES
SUPD200222-007242,2/22/2020,BURGLS-Burglary,39.932594,-105.144571,2/22/2020,BURG RES
BCSO200302-008360,3/2/2020,BURGLS-Burglary,40.194312,-105.253337,3/2/2020,BURG RES
BCSO200308-009283,3/8/2020,BURGLS-Burglary,39.924727,-105.398541,3/8/2020,BURG RES
SUPD200324-011168,3/24/2020,SUSPIS-Suspicious,39.945045,-105.150083,3/24/2020,BURG RES
BCSO200407-012376,4/7/2020,BURGLS-Burglary,40.039780,-105.360916,4/7/2020,BURG RES
BCSO200414-013133,4/14/2020,THEFTS-Theft,40.128872,-105.102603,4/14/2020,BURG RES
SUPD200415-013176,4/15/2020,THEFTS-Theft,39.932822,-105.139841,4/15/2020,BURG RES
BCSO200421-013707,4/21/2020,BURGLS-Burglary,40.159713,-105.134011,4/21/2020,BURG RES
BCSO200421-013721,4/21/2020,BURGLS-Burglary,40.054047,-105.302110,4/21/2020,BURG RES
BCSO200505-015187,5/5/2020,BURGLS-Burglary,40.069461,-105.064266,5/5/2020,BURG RES
BCSO200507-015446,5/7/2020,BURGLS-Burglary,40.065929,-105.180214,5/7/2020,BURG RES
BCSO200508-015506,5/8/2020,BURGLS-Burglary,39.949369,-105.578758,5/8/2020,BURG RES
BCSO200513-016068,5/13/2020,BURGLS-Burglary,39.917155,-105.359864,5/13/2020,BURG RES
SUPD200522-017289,5/22/2020,BURGLS-Burglary,39.925587,-105.158239,5/22/2020,BURG RES
BCSO200601-018908,6/1/2020,BURGLS-Burglary,39.998850,-105.167656,6/1/2020,BURG RES
BCSO200609-019981,6/9/2020,TRESPS-Trespassing,40.212365,-105.243545,6/9/2020,BURG RES
SUPD200615-020690,6/15/2020,CRTRES-Criminal Trespass,39.950463,-105.168031,6/15/2020,BURG RES
BCSO200619-021233,6/19/2020,BURGLS-Burglary,40.104912,-105.259476,6/19/2020,BURG RES
BCSO200622-021648,6/22/2020,BURGLS-Burglary,40.212310,-105.273626,6/22/2020,BURG RES
SUPD200628-022340,6/28/2020,AUTHES-Auto Theft,39.931649,-105.161892,6/28/2020,BURG RES
SUPD200629-022535,6/29/2020,THEFTS-Theft,39.938235,-105.162354,6/29/2020,BURG RES
BCSO200703-023000,7/3/2020,BURGLS-Burglary,40.111347,-105.480943,7/3/2020,BURG RES
BCSO200708-023860,7/8/2020,THEFTS-Theft,40.115544,-105.126544,7/8/2020,BURG RES
BCSO200709-023887,7/9/2020,BURGLS-Burglary,40.066208,-105.183986,7/9/2020,BURG RES
SUPD200713-024480,7/13/2020,BURGLS-Burglary,39.930847,-105.145381,7/13/2020,BURG RES
BCSO200717-025050,7/17/2020,BURGLS-Burglary,40.005009,-105.205113,7/17/2020,BURG RES
BCSO200717-025072,7/17/2020,BURGLS-Burglary,40.001671,-105.212556,7/17/2020,BURG RES
BCSO200720-025649,7/20/2020,THEFTS-Theft,40.059631,-105.208197,7/20/2020,BURG RES
BCSO200722-025857,7/22/2020,BURGLS-Burglary,40.059574,-105.208319,7/22/2020,BURG RES
SUPD200802-027418,8/2/2020,BURGLS-Burglary,39.933401,-105.164872,8/2/2020,BURG RES
SUPD200806-027887,8/6/2020,BURGLS-Burglary,39.926876,-105.148006,8/6/2020,BURG RES
BCSO200806-027894,8/6/2020,BURGLS-Burglary,40.059520,-105.208511,8/6/2020,BURG RES
BCSO200807-028028,8/7/2020,AUTHES-Auto Theft,40.123397,-105.105151,8/7/2020,BURG RES
BCSO200808-028228,8/8/2020,BURGLS-Burglary,40.043876,-105.256712,8/8/2020,BURG RES
BCSO200812-028812,8/12/2020,TRESPS-Trespassing,40.067509,-105.301960,8/12/2020,BURG RES
SUPD200816-029495,8/16/2020,THEFTS-Theft,39.956218,-105.176438,8/16/2020,BURG RES
BCSO200821-030160,8/21/2020,DISTUS-Disturbance,40.094700,-105.179272,8/21/2020,BURG RES
BCSO200822-030187,8/22/2020,BURGLS-Burglary,40.010569,-105.213036,8/22/2020,BURG RES
BCSO200825-030625,8/25/2020,CRTRES-Criminal Trespass,40.063307,-105.180528,8/25/2020,BURG RES
BCSO200827-030832,8/27/2020,TRESPS-Trespassing,40.014654,-105.194243,8/27/2020,BURG RES
SUPD200827-030891,8/27/2020,AUTHES-Auto Theft,39.932367,-105.138226,8/27/2020,BURG RES
SUPD200901-031532,9/1/2020,THEFTS-Theft,39.936951,-105.162614,9/1/2020,BURG RES
